
===OBU
---TYPE 1
Mutant ./mutants/Type6/OBU/11, verdict: true
Mutant ./mutants/Type6/OBU/12, verdict: true
Mutant ./mutants/Type6/OBU/13, verdict: true
Mutant ./mutants/Type6/OBU/14, verdict: true
Mutant ./mutants/Type6/OBU/15, verdict: true
Mutant ./mutants/Type6/OBU/16, verdict: true
Mutant ./mutants/Type6/OBU/17, verdict: true
Mutant ./mutants/Type6/OBU/18, verdict: true
Mutant ./mutants/Type6/OBU/19, verdict: true
Mutant ./mutants/Type6/OBU/2, verdict: true
Mutant ./mutants/Type6/OBU/20, verdict: true
Mutant ./mutants/Type6/OBU/21, verdict: true
Mutant ./mutants/Type6/OBU/22, verdict: true
Mutant ./mutants/Type6/OBU/23, verdict: true
Mutant ./mutants/Type6/OBU/24, verdict: true
Mutant ./mutants/Type6/OBU/25, verdict: true
Mutant ./mutants/Type6/OBU/26, verdict: true
Mutant ./mutants/Type6/OBU/27, verdict: true
Mutant ./mutants/Type6/OBU/28, verdict: true
Mutant ./mutants/Type6/OBU/29, verdict: true
Mutant ./mutants/Type6/OBU/3, verdict: true
Mutant ./mutants/Type6/OBU/30, verdict: true
Mutant ./mutants/Type6/OBU/31, verdict: true
Mutant ./mutants/Type6/OBU/32, verdict: true
Mutant ./mutants/Type6/OBU/33, verdict: true
Mutant ./mutants/Type6/OBU/34, verdict: true
Mutant ./mutants/Type6/OBU/35, verdict: true
Mutant ./mutants/Type6/OBU/36, verdict: true
Mutant ./mutants/Type6/OBU/37, verdict: true
Mutant ./mutants/Type6/OBU/38, verdict: true
Mutant ./mutants/Type6/OBU/39, verdict: true
Mutant ./mutants/Type6/OBU/4, verdict: true
Mutant ./mutants/Type6/OBU/40, verdict: true
Mutant ./mutants/Type6/OBU/41, verdict: true
Mutant ./mutants/Type6/OBU/42, verdict: true
Mutant ./mutants/Type6/OBU/43, verdict: true
Mutant ./mutants/Type6/OBU/44, verdict: true
Mutant ./mutants/Type6/OBU/45, verdict: true
Mutant ./mutants/Type6/OBU/5, verdict: true
Mutant ./mutants/Type6/OBU/6, verdict: true
Mutant ./mutants/Type6/OBU/7, verdict: true
Mutant ./mutants/Type6/OBU/8, verdict: true
Mutant ./mutants/Type6/OBU/9, verdict: true
===RBC
---TYPE 1
Mutant ./mutants/Type1/RBC/1, verdict: false
Mutant ./mutants/Type1/RBC/2, verdict: false
Mutant ./mutants/Type1/RBC/3, verdict: false
Mutant ./mutants/Type1/RBC/4, verdict: false
Mutant ./mutants/Type1/RBC/5, verdict: false
Mutant ./mutants/Type1/RBC/6, verdict: false
Mutant ./mutants/Type1/RBC/7, verdict: false
Mutant ./mutants/Type1/RBC/8, verdict: false
Mutant ./mutants/Type1/RBC/9, verdict: false
---TYPE 2
Mutant ./mutants/Type2/RBC/1, verdict: false
Mutant ./mutants/Type2/RBC/2, verdict: true
Mutant ./mutants/Type2/RBC/3, verdict: false
Mutant ./mutants/Type2/RBC/4, verdict: false
Mutant ./mutants/Type2/RBC/5, verdict: true
Mutant ./mutants/Type2/RBC/6, verdict: true
Mutant ./mutants/Type2/RBC/7, verdict: false
Mutant ./mutants/Type2/RBC/8, verdict: false
---TYPE 3
Mutant ./mutants/Type3/RBC/1, verdict: false
Mutant ./mutants/Type3/RBC/2, verdict: true
Mutant ./mutants/Type3/RBC/3, verdict: false
Mutant ./mutants/Type3/RBC/4, verdict: false
Mutant ./mutants/Type3/RBC/5, verdict: true
Mutant ./mutants/Type3/RBC/6, verdict: true
---TYPE 4
Mutant ./mutants/Type4/RBC/1, verdict: false
Mutant ./mutants/Type4/RBC/2, verdict: false
Mutant ./mutants/Type4/RBC/3, verdict: false
Mutant ./mutants/Type4/RBC/4, verdict: true
Mutant ./mutants/Type4/RBC/5, verdict: true
Mutant ./mutants/Type4/RBC/6, verdict: true
Mutant ./mutants/Type4/RBC/7, verdict: false
Mutant ./mutants/Type4/RBC/8, verdict: false
---TYPE 5
Mutant ./mutants/Type5/RBC/1, verdict: true
Mutant ./mutants/Type5/RBC/10, verdict: false
Mutant ./mutants/Type5/RBC/11, verdict: false
Mutant ./mutants/Type5/RBC/12, verdict: true
Mutant ./mutants/Type5/RBC/13, verdict: false
Mutant ./mutants/Type5/RBC/14, verdict: false
Mutant ./mutants/Type5/RBC/15, verdict: false
Mutant ./mutants/Type5/RBC/16, verdict: true
Mutant ./mutants/Type5/RBC/17, verdict: true
Mutant ./mutants/Type5/RBC/18, verdict: true
Mutant ./mutants/Type5/RBC/19, verdict: true
Mutant ./mutants/Type5/RBC/2, verdict: false
Mutant ./mutants/Type5/RBC/20, verdict: true
Mutant ./mutants/Type5/RBC/21, verdict: true
Mutant ./mutants/Type5/RBC/22, verdict: true
Mutant ./mutants/Type5/RBC/23, verdict: true
Mutant ./mutants/Type5/RBC/24, verdict: true
Mutant ./mutants/Type5/RBC/25, verdict: true
Mutant ./mutants/Type5/RBC/26, verdict: true
Mutant ./mutants/Type5/RBC/27, verdict: false
Mutant ./mutants/Type5/RBC/28, verdict: false
Mutant ./mutants/Type5/RBC/29, verdict: false
Mutant ./mutants/Type5/RBC/3, verdict: true
Mutant ./mutants/Type5/RBC/30, verdict: true
Mutant ./mutants/Type5/RBC/31, verdict: true
Mutant ./mutants/Type5/RBC/32, verdict: false
Mutant ./mutants/Type5/RBC/33, verdict: false
Mutant ./mutants/Type5/RBC/34, verdict: false
Mutant ./mutants/Type5/RBC/35, verdict: true
Mutant ./mutants/Type5/RBC/36, verdict: true
Mutant ./mutants/Type5/RBC/37, verdict: true
Mutant ./mutants/Type5/RBC/38, verdict: true
Mutant ./mutants/Type5/RBC/39, verdict: false
Mutant ./mutants/Type5/RBC/4, verdict: true
Mutant ./mutants/Type5/RBC/40, verdict: true
Mutant ./mutants/Type5/RBC/41, verdict: true
Mutant ./mutants/Type5/RBC/42, verdict: false
Mutant ./mutants/Type5/RBC/43, verdict: true
Mutant ./mutants/Type5/RBC/44, verdict: false
Mutant ./mutants/Type5/RBC/45, verdict: false
Mutant ./mutants/Type5/RBC/46, verdict: false
Mutant ./mutants/Type5/RBC/5, verdict: true
Mutant ./mutants/Type5/RBC/6, verdict: true
Mutant ./mutants/Type5/RBC/7, verdict: false
Mutant ./mutants/Type5/RBC/8, verdict: false
Mutant ./mutants/Type5/RBC/9, verdict: false
---TYPE 6
Mutant ./mutants/Type6/RBC/1, verdict: false
Mutant ./mutants/Type6/RBC/2, verdict: true
Mutant ./mutants/Type6/RBC/3, verdict: true
Mutant ./mutants/Type6/RBC/4, verdict: true
Mutant ./mutants/Type6/RBC/5, verdict: false
