des(0,80596,49488)    
(71,"<<{OBU}0 !EBcmd{p1=1}>> ",72)
(72,"<<{OBU}0 !DMIcmd{p1=80}>> ",70)
(70,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",70)
(10,"<<{OBU}0 ?ESpeed{p1=171}{OBU}0>> ",74)
(74,"<<{OBU}0 !EBcmd{p1=1}>> ",75)
(75,"<<{OBU}0 !DMIcmd{p1=80}>> ",73)
(73,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",73)
(10,"<<{OBU}0 ?ESpeed{p1=170}{OBU}0>> ",77)
(77,"<<{OBU}0 !EBcmd{p1=1}>> ",78)
(78,"<<{OBU}0 !DMIcmd{p1=80}>> ",76)
(76,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",76)
(10,"<<{OBU}0 ?ESpeed{p1=169}{OBU}0>> ",80)
(80,"<<{OBU}0 !EBcmd{p1=1}>> ",81)
(81,"<<{OBU}0 !DMIcmd{p1=80}>> ",79)
(79,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",79)
(10,"<<{OBU}0 ?ESpeed{p1=168}{OBU}0>> ",83)
(83,"<<{OBU}0 !EBcmd{p1=1}>> ",84)
(84,"<<{OBU}0 !DMIcmd{p1=80}>> ",82)
(82,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",82)
(10,"<<{OBU}0 ?ESpeed{p1=167}{OBU}0>> ",86)
(86,"<<{OBU}0 !EBcmd{p1=1}>> ",87)
(87,"<<{OBU}0 !DMIcmd{p1=80}>> ",85)
(85,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",85)
(10,"<<{OBU}0 ?ESpeed{p1=166}{OBU}0>> ",89)
(89,"<<{OBU}0 !EBcmd{p1=1}>> ",90)
(90,"<<{OBU}0 !DMIcmd{p1=80}>> ",88)
(88,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",88)
(10,"<<{OBU}0 ?ESpeed{p1=165}{OBU}0>> ",92)
(92,"<<{OBU}0 !EBcmd{p1=1}>> ",93)
(93,"<<{OBU}0 !DMIcmd{p1=80}>> ",91)
(91,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",91)
(10,"<<{OBU}0 ?ESpeed{p1=164}{OBU}0>> ",95)
(95,"<<{OBU}0 !EBcmd{p1=1}>> ",96)
(96,"<<{OBU}0 !DMIcmd{p1=80}>> ",94)
(94,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",94)
(10,"<<{OBU}0 ?ESpeed{p1=163}{OBU}0>> ",98)
(98,"<<{OBU}0 !EBcmd{p1=1}>> ",99)
(99,"<<{OBU}0 !DMIcmd{p1=80}>> ",97)
(97,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",97)
(10,"<<{OBU}0 ?ESpeed{p1=162}{OBU}0>> ",101)
(101,"<<{OBU}0 !EBcmd{p1=1}>> ",102)
(102,"<<{OBU}0 !DMIcmd{p1=80}>> ",100)
